Time,altitude via coords,altitude via ecc ano,altitude via true ano
0,6794326.298154,6796692.069214,6796692.069214
1,6794321.729490,6796696.637877,6796696.637877
2,6794317.162338,6796701.205030,6796701.205030
3,6794312.596702,6796705.770666,6796705.770666
4,6794308.032588,6796710.334779,6796710.334779
5,6794303.470003,6796714.897365,6796714.897365
6,6794298.908952,6796719.458416,6796719.458416
7,6794294.349440,6796724.017927,6796724.017927
8,6794289.791474,6796728.575893,6796728.575893
9,6794285.235060,6796733.132308,6796733.132308
10,6794280.680202,6796737.687165,6796737.687165
11,6794276.126908,6796742.240459,6796742.240459
12,6794271.575182,6796746.792185,6796746.792185
13,6794267.025031,6796751.342336,6796751.342336
14,6794262.476460,6796755.890907,6796755.890907
15,6794257.929475,6796760.437892,6796760.437892
16,6794253.384082,6796764.983285,6796764.983285
17,6794248.840287,6796769.527081,6796769.527081
18,6794244.298095,6796774.069273,6796774.069273
19,6794239.757512,6796778.609856,6796778.609856
20,6794235.218543,6796783.148824,6796783.148824
21,6794230.681196,6796787.686172,6796787.686172
22,6794226.145475,6796792.221893,6796792.221893
23,6794221.611386,6796796.755982,6796796.755982
24,6794217.078934,6796801.288433,6796801.288433
25,6794212.548127,6796805.819241,6796805.819241
26,6794208.018969,6796810.348399,6796810.348399
27,6794203.491466,6796814.875902,6796814.875902
28,6794198.965623,6796819.401744,6796819.401744
29,6794194.441448,6796823.925920,6796823.925920
30,6794189.918945,6796828.448423,6796828.448423
31,6794185.398120,6796832.969248,6796832.969248
32,6794180.878978,6796837.488389,6796837.488389
33,6794176.361527,6796842.005841,6796842.005841
34,6794171.845770,6796846.521597,6796846.521597
35,6794167.331715,6796851.035653,6796851.035653
36,6794162.819366,6796855.548001,6796855.548001
37,6794158.308730,6796860.058638,6796860.058638
38,6794153.799812,6796864.567556,6796864.567556
39,6794149.292618,6796869.074750,6796869.074750
40,6794144.787153,6796873.580214,6796873.580214
41,6794140.283424,6796878.083943,6796878.083943
42,6794135.781436,6796882.585931,6796882.585931
43,6794131.281195,6796887.086172,6796887.086172
44,6794126.782706,6796891.584661,6796891.584661
45,6794122.285976,6796896.081392,6796896.081392
46,6794117.791009,6796900.576358,6796900.576358
47,6794113.297812,6796905.069555,6796905.069555
48,6794108.806390,6796909.560977,6796909.560977
49,6794104.316750,6796914.050618,6796914.050618
50,6794099.828896,6796918.538472,6796918.538472
51,6794095.342834,6796923.024533,6796923.024533
52,6794090.858570,6796927.508797,6796927.508797
53,6794086.376111,6796931.991257,6796931.991257
54,6794081.895460,6796936.471907,6796936.471907
55,6794077.416625,6796940.950742,6796940.950742
56,6794072.939611,6796945.427757,6796945.427757
57,6794068.464423,6796949.902945,6796949.902945
58,6794063.991067,6796954.376301,6796954.376301
59,6794059.519549,6796958.847818,6796958.847818
60,6794055.049875,6796963.317493,6796963.317493
61,6794050.582050,6796967.785318,6796967.785318
62,6794046.116079,6796972.251288,6796972.251288
63,6794041.651970,6796976.715398,6796976.715398
64,6794037.189726,6796981.177642,6796981.177642
65,6794032.729354,6796985.638013,6796985.638013
66,6794028.270860,6796990.096507,6796990.096507
67,6794023.814249,6796994.553119,6796994.553119
68,6794019.359527,6796999.007841,6796999.007841
69,6794014.906699,6797003.460668,6797003.460668
70,6794010.455771,6797007.911596,6797007.911596
71,6794006.006749,6797012.360618,6797012.360618
72,6794001.559639,6797016.807728,6797016.807728
73,6793997.114446,6797021.252922,6797021.252922
74,6793992.671175,6797025.696193,6797025.696193
75,6793988.229832,6797030.137535,6797030.137535
76,6793983.790424,6797034.576943,6797034.576943
77,6793979.352955,6797039.014412,6797039.014412
78,6793974.917431,6797043.449936,6797043.449936
79,6793970.483859,6797047.883509,6797047.883509
80,6793966.052242,6797052.315125,6797052.315125
81,6793961.622588,6797056.744779,6797056.744779
82,6793957.194902,6797061.172466,6797061.172466
83,6793952.769188,6797065.598179,6797065.598179
84,6793948.345454,6797070.021913,6797070.021913
85,6793943.923704,6797074.443663,6797074.443663
86,6793939.503945,6797078.863423,6797078.863423
87,6793935.086181,6797083.281186,6797083.281186
88,6793930.670419,6797087.696949,6797087.696949
89,6793926.256663,6797092.110704,6797092.110704
90,6793921.844920,6797096.522447,6797096.522447
91,6793917.435196,6797100.932172,6797100.932172
92,6793913.027495,6797105.339873,6797105.339873
93,6793908.621823,6797109.745544,6797109.745544
94,6793904.218186,6797114.149181,6797114.149181
95,6793899.816590,6797118.550777,6797118.550777
96,6793895.417040,6797122.950327,6797122.950327
97,6793891.019542,6797127.347826,6797127.347826
98,6793886.624101,6797131.743267,6797131.743267
99,6793882.230723,6797136.136645,6797136.136645
100,6793877.839413,6797140.527955,6797140.527955
101,6793873.450177,6797144.917191,6797144.917191
102,6793869.063021,6797149.304347,6797149.304347
103,6793864.677949,6797153.689418,6797153.689418
104,6793860.294969,6797158.072399,6797158.072399
105,6793855.914085,6797162.453283,6797162.453283
106,6793851.535302,6797166.832065,6797166.832065
107,6793847.158627,6797171.208741,6797171.208741
108,6793842.784065,6797175.583303,6797175.583303
109,6793838.411621,6797179.955747,6797179.955747
110,6793834.041301,6797184.326066,6797184.326066
111,6793829.673111,6797188.694257,6797188.694257
112,6793825.307055,6797193.060312,6797193.060312
113,6793820.943141,6797197.424227,6797197.424227
114,6793816.581372,6797201.785995,6797201.785995
115,6793812.221756,6797206.145612,6797206.145612
116,6793807.864296,6797210.503071,6797210.503071
117,6793803.508999,6797214.858368,6797214.858368
118,6793799.155871,6797219.211497,6797219.211497
119,6793794.804916,6797223.562452,6797223.562452
120,6793790.456140,6797227.911227,6797227.911227
121,6793786.109550,6797232.257818,6797232.257818
122,6793781.765149,6797236.602218,6797236.602218
123,6793777.422945,6797240.944423,6797240.944423
124,6793773.082941,6797245.284426,6797245.284426
125,6793768.745145,6797249.622222,6797249.622222
126,6793764.409561,6797253.957806,6797253.957806
127,6793760.076195,6797258.291173,6797258.291173
128,6793755.745052,6797262.622315,6797262.622315
129,6793751.416138,6797266.951229,6797266.951229
130,6793747.089458,6797271.277909,6797271.277909
131,6793742.765019,6797275.602349,6797275.602349
132,6793738.442824,6797279.924543,6797279.924543
133,6793734.122880,6797284.244487,6797284.244487
134,6793729.805193,6797288.562175,6797288.562175
135,6793725.489767,6797292.877600,6797292.877600
136,6793721.176608,6797297.190759,6797297.190759
137,6793716.865722,6797301.501645,6797301.501645
138,6793712.557115,6797305.810253,6797305.810253
139,6793708.250791,6797310.116577,6797310.116577
140,6793703.946755,6797314.420612,6797314.420612
141,6793699.645015,6797318.722353,6797318.722353
142,6793695.345574,6797323.021793,6797323.021793
143,6793691.048439,6797327.318928,6797327.318928
144,6793686.753615,6797331.613753,6797331.613753
145,6793682.461107,6797335.906261,6797335.906261
146,6793678.170921,6797340.196447,6797340.196447
147,6793673.883062,6797344.484306,6797344.484306
148,6793669.597535,6797348.769832,6797348.769832
149,6793665.314347,6797353.053020,6797353.053020
150,6793661.033503,6797357.333865,6797357.333865
151,6793656.755007,6797361.612361,6797361.612361
152,6793652.478865,6797365.888502,6797365.888502
153,6793648.205084,6797370.162284,6797370.162284
154,6793643.933667,6797374.433700,6797374.433700
155,6793639.664622,6797378.702746,6797378.702746
156,6793635.397952,6797382.969416,6797382.969416
157,6793631.133664,6797387.233704,6797387.233704
158,6793626.871762,6797391.495605,6797391.495605
159,6793622.612253,6797395.755114,6797395.755114
160,6793618.355142,6797400.012226,6797400.012226
161,6793614.100433,6797404.266934,6797404.266934
162,6793609.848133,6797408.519234,6797408.519234
163,6793605.598247,6797412.769120,6797412.769120
164,6793601.350780,6797417.016587,6797417.016587
165,6793597.105738,6797421.261629,6797421.261629
166,6793592.863126,6797425.504241,6797425.504241
167,6793588.622949,6797429.744418,6797429.744418
168,6793584.385213,6797433.982154,6797433.982154
169,6793580.149923,6797438.217444,6797438.217444
170,6793575.917085,6797442.450283,6797442.450283
171,6793571.686703,6797446.680664,6797446.680664
172,6793567.458784,6797450.908583,6797450.908583
173,6793563.233333,6797455.134035,6797455.134035
174,6793559.010354,6797459.357014,6797459.357014
175,6793554.789854,6797463.577514,6797463.577514
176,6793550.571837,6797467.795531,6797467.795531
177,6793546.356309,6797472.011058,6797472.011058
178,6793542.143276,6797476.224092,6797476.224092
179,6793537.932742,6797480.434625,6797480.434625
180,6793533.724714,6797484.642654,6797484.642654
181,6793529.519196,6797488.848172,6797488.848172
182,6793525.316193,6797493.051174,6797493.051174
183,6793521.115712,6797497.251656,6797497.251656
184,6793516.917757,6797501.449611,6797501.449611
185,6793512.722333,6797505.645034,6797505.645034
186,6793508.529447,6797509.837921,6797509.837921
187,6793504.339103,6797514.028265,6797514.028265
188,6793500.151306,6797518.216061,6797518.216061
189,6793495.966063,6797522.401304,6797522.401304
190,6793491.783378,6797526.583990,6797526.583990
191,6793487.603256,6797530.764111,6797530.764111
192,6793483.425704,6797534.941664,6797534.941664
193,6793479.250725,6797539.116643,6797539.116643
194,6793475.078326,6797543.289042,6797543.289042
195,6793470.908511,6797547.458856,6797547.458856
196,6793466.741287,6797551.626080,6797551.626080
197,6793462.576658,6797555.790710,6797555.790710
198,6793458.414629,6797559.952738,6797559.952738
199,6793454.255207,6797564.112161,6797564.112161
200,6793450.098395,6797568.268972,6797568.268972
201,6793445.944200,6797572.423167,6797572.423167
202,6793441.792627,6797576.574740,6797576.574740
203,6793437.643681,6797580.723687,6797580.723687
204,6793433.497366,6797584.870001,6797584.870001
205,6793429.353690,6797589.013678,6797589.013678
206,6793425.212656,6797593.154712,6797593.154712
207,6793421.074270,6797597.293098,6797597.293098
208,6793416.938537,6797601.428831,6797601.428831
209,6793412.805462,6797605.561905,6797605.561905
